date,open,high,low,Close,Volume
5/13/14,105.2247,105.6648,104.2509,104.3352,58122800
5/14/14,104.0262,104.0449,102.4532,102.6404,65720700
5/15/14,102.1255,102.2565,100.5992,101.9476,75870500
5/16/14,101.9944,102.6404,101.1517,102.5936,44666200
5/19/14,102.3127,103.97,102.0131,103.6985,35336900
5/20/14,103.4457,103.4738,101.5168,102.1161,89567900
5/21/14,102.6685,103.118,101.6386,102.6404,55278500
5/22/14,102.9588,103.9794,102.6404,103.7079,41295000
5/23/14,103.6423,104.8876,103.4738,104.8408,42643800
5/27/14,105.515,106.5918,105.4775,106.3483,46373900
5/28/14,106.1142,106.2359,105.3605,105.7959,37055400
5/29/14,106.1142,106.3577,105.5243,106.1517,25556800
5/30/14,106.1142,106.2079,105.1873,105.6741,38856000
6/2/14,105.8708,105.8989,104.2697,105.103,40369700
6/3/14,104.5318,105.206,104.0356,104.8502,31143700
6/4/14,104.382,105.3979,104.0824,105.2622,28835500
6/5/14,105.5431,107.5655,104.9532,107.4719,67182000
6/6/14,107.9307,108.8389,107.7809,108.5019,45854000
6/9/14,108.5019,110,108.2959,109.4569,44025700
6/10/14,109.2041,109.3914,108.5768,109.2416,39799900
6/11/14,108.6423,108.9232,108.0524,108.7079,30144700
6/12/14,108.4082,108.5392,107.5936,108.0431,39481200
6/13/14,108.3052,108.53,107.3595,108.2303,33779400
6/16/14,108.1367,108.7547,107.7715,108.7547,30051100
6/17/14,108.6517,109.9719,108.4082,109.5225,62573000
6/18/14,109.4569,110.309,109.0824,110.2622,37448900
6/19/14,110.6461,110.7022,109.6442,110.3558,30915900
6/20/14,110.3652,110.7678,110.0749,110.721,30104400
6/23/14,110.955,111.0019,110.1966,110.5056,21388700
6/24/14,110.2434,111.3389,109.2255,109.3258,41788300
6/25/14,108.6704,110.2903,108.661,110.2528,34620800
6/26/14,110.2903,110.3183,109.1667,110.0655,28018300
